DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
"(5,6-diphenyl-furo[2,3-d]pyrimidin-4-ylamino)-acetic"	DB07654		9606.ENSP00000391090	CHEK1	O14757
"3-amino-3-benzyl-[4.3.0]bicyclo-1,6-diazanonan-2-one"	DB07655		9606.ENSP00000391090	CHEK1	O14757
phosphonic acid 2-dodecanoylamino-hexyl ester propyl ester	DB07657		9606.ENSP00000312286	PLA2G1B	P04054
ac-(d)phe-pro-borolys-oh	DB07658		9606.ENSP00000308541	F2	P00734
ac-(d)phe-pro-borohomolys-oh	DB07659		9606.ENSP00000308541	F2	P00734
ac-(d)phe-pro-borohomoornithine-oh	DB07660		9606.ENSP00000308541	F2	P00734
pd-168393	DB07662	4-[(3-bromophenyl)amino]-6-acrylamidoquinazoline	"9606.ENSP00000275493, 9606.ENSP00000362680"	"EGFR, SRC"	"P00533, P12931"
k-00546	DB07664	cdk1/2 inhibitor iii	"9606.ENSP00000427562, 9606.ENSP00000353904, 9606.ENSP00000358770, 9606.ENSP00000282356, 9606.ENSP00000378505"	"ABL2, CSNK1G3, SLK, CAMK4, CLK3"	"P42684, Q9Y6M4, Q9H2G2, Q16566, P49761"
"n-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide"	DB07665		9606.ENSP00000308541	F2	P00734
"(3r,4s)-1-{6-[3-(methylsulfonyl)phenyl]pyrimidin-4-yl}-4-(2,4,5-trifluorophenyl)pyrrolidin-3-amine"	DB07666		9606.ENSP00000353731	DPP4	P27487
alpha-methyl-2-hydroxy-4-diethylaminocinnamic acid	DB07668	3-(4-diethylamino-2-hydroxy-phenyl)-2-methyl-propionic acid | alpha-mhdac	9606.ENSP00000354294	CTRB1	P17538
"n,4-dimethyl-n-(1-phenyl-1h-pyrazol-5-yl)benzenesulfonamide"	DB07670		9606.ENSP00000285979	CYP2C18	P33260
trans-2-(dimethylphenylsilyl)-piperidine-n-oxide	DB07672				P01857
(2s)-2-ethoxy-3-{4-[2-(10h-phenoxazin-10-yl)ethoxy]phenyl}propanoic acid	DB07675		9606.ENSP00000287820	PPARG	P37231
"3-({[(3s)-3,4-dihydroxybutyl]oxy}amino)-1h,2'h-2,3'-biindol-2'-one"	DB07676		"9606.ENSP00000324806, 9606.ENSP00000282356"	"GSK3B, CAMK4"	"P49841, Q16566"
"2-methyl-3,5,7,8-tetrahydro-4h-thiopyrano[4,3-d]pyrimidin-4-one"	DB07677		9606.ENSP00000381740	PARP3	Q9Y6F1
"(9alpha,13beta,17beta)-2-[(1z)-but-1-en-1-yl]estra-1,3,5(10)-triene-3,17-diol"	DB07678		"9606.ENSP00000405330, 9606.ENSP00000399968"	"ESR1, NCOA2"	"P03372, Q15596"
[(1s)-1-(5-chloro-1-benzothien-3-yl)-2-(2-naphthylamino)-2-oxoethyl]phosphonic acid	DB07680		9606.ENSP00000250378	CMA1	P23946
dodecanesulfonate ion	DB07681		9606.ENSP00000264381	BCHE	P06276
"n-(dibenzo[b,d]thiophen-3-ylsulfonyl)-l-valine"	DB07683		9606.ENSP00000458585	MMP12	P39900
5-(dimethylamino)-2-naphthalenesulfonic acid	DB07684		9606.ENSP00000220809	PLAT	P00750
"4-{[5-(cyclohexylmethoxy)[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]amino}benzenesulfonamide"	DB07685		9606.ENSP00000266970	CDK2	P24941
"4-{[5-(cyclohexylamino)[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]amino}benzenesulfonamide"	DB07686		9606.ENSP00000266970	CDK2	P24941
"4-({5-[(4-aminocyclohexyl)amino][1,2,4]triazolo[1,5-a]pyrimidin-7-yl}amino)benzenesulfonamide"	DB07687		9606.ENSP00000266970	CDK2	P24941
"4-{[5-(cyclohexyloxy)[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]amino}benzenesulfonamide"	DB07688		"9606.ENSP00000266970, 9606.ENSP00000481380"	"CDK2, CCNA2"	"P24941, P20248"
"methyl 1-(4-{[(2,4-diaminopteridin-6-yl)methyl]amino}benzoyl)piperidine-4-carboxylate"	DB07689				P0CG22
"2-({[3-(3,4-dihydroisoquinolin-2(1h)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid"	DB07691		9606.ENSP00000310928	PPARD	Q03181
"1-[(2,6-difluorophenyl)sulfonyl]-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine"	DB07692		9606.ENSP00000320171	PKM	P14618
methyl (3s)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate	DB07696		9606.ENSP00000311032	CASP3	P42574
"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine"	DB07697		9606.ENSP00000320171	PKM	P14618
"3-(3-aminophenyl)-n-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine"	DB07698		9606.ENSP00000325290	HASPIN	Q8TF76
"3-carboxamido-1,3,5(10)-estratrien-17(r)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran"	DB07700		9606.ENSP00000369927	AKR1C3	P42330
"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine"	DB07701		9606.ENSP00000303211	ACHE	P22303
17alpha-estriol	DB07702		"9606.ENSP00000343925, 9606.ENSP00000290231"	"ESR2, NCOA5"	"Q92731, Q9HCD5"
(s)-econazole	DB07705	(+)-econazole	9606.ENSP00000003100	CYP51A1	Q16850
"(9beta,11alpha,13alpha,14beta,17alpha)-11-(methoxymethyl)estra-1(10),2,4-triene-3,17-diol"	DB07707		"9606.ENSP00000405330, 9606.ENSP00000399968"	"ESR1, NCOA2"	"P03372, Q15596"
3-chloro-2-(4-hydroxyphenyl)-2h-indazol-5-ol	DB07708		"9606.ENSP00000405330, 9606.ENSP00000399968"	"ESR1, NCOA2"	"P03372, Q15596"
phenylalanylaminodi(ethyloxy)ethyl benzenesulfonamideaminocarbonylbenzenesulfonamide	DB07710		9606.ENSP00000285379	CA2	P00918
"(2s,3r)-3-(6-amino-9h-purin-9-yl)nonan-2-ol"	DB07711		9606.ENSP00000361965	ADA	P00813
3-ethyl-2-(4-hydroxyphenyl)-2h-indazol-5-ol	DB07712		"9606.ENSP00000405330, 9606.ENSP00000399968"	"ESR1, NCOA2"	"P03372, Q15596"
"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid"	DB07713		9606.ENSP00000236826	MMP8	P22894
"6-(3-methyl-1,4-dioxo-1,4-dihydronaphthalen-2-yl)hexanoic acid"	DB07714		9606.ENSP00000221130	GSR	P00390
emodin	DB07715	"1,3,8-trihydroxy-6-methyl-9,10-anthracenedione | 1,3,8-trihydroxy-6-methyl-9,10-anthraquinone | schuttgelb"	"9606.ENSP00000217244, 9606.ENSP00000242057"	"CSNK2A1, AHR"	"P68400, P35869"
"(4z)-2,8:7,12:11,15:14,18:17,22-pentaanhydro-4,5,6,9,10,13,19,20,21-nonadeoxy-d-arabino-d-allo-d-allo-docosa-4,9,20-trienitol"	DB07716				P01834
"(5s,8r,9s,10s,13r,14s,17s)-13-{2-[(3,5-difluorobenzyl)oxy]ethyl}-17-hydroxy-10-methylhexadecahydro-3h-cyclopenta[a]phenanthren-3-one"	DB07717		9606.ENSP00000363822	AR	P10275
4-hydroxyphenylpyruvic acid	DB07718	(4-hydroxyphenyl)pyruvic acid | (p-hydroxyphenyl)pyruvic acid | p-hydroxyphenylpyruvic acid	"9606.ENSP00000308541, 9606.ENSP00000215754"	"F2, MIF"	"P00734, P14174"
"[(3r)-3-(methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid"	DB07719		9606.ENSP00000360683	PTPN1	P18031
epibatidine	DB07720	"(+)-epibatidine | (1r,2r,4s)-epibatidine"	"9606.ENSP00000385026, 9606.ENSP00000359285, 9606.ENSP00000357461, 9606.ENSP00000407546, 9606.ENSP00000261751, 9606.ENSP00000315602, 9606.ENSP00000299847"	"CHRNA2, CHRNA4, CHRNB2, CHRNA7, CHRNB4, CHRNA3, CHRFAM7A"	"Q15822, P43681, P17787, P36544, P30926, P32297, Q494W8"
3-(5-methoxy-1h-indol-3-yl)propanoic acid	DB07723		9606.ENSP00000287820	PPARG	P37231
indeglitazar	DB07724	indeglitazar	"9606.ENSP00000385523, 9606.ENSP00000287820, 9606.ENSP00000310928, 9606.ENSP00000385216"	"PPARA, PPARG, PPARD, NCOA1"	"Q07869, P37231, Q03181, Q15788"
"2-[2-(2-fluorophenyl)pyridin-4-yl]-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one"	DB07728		"9606.ENSP00000356070, 9606.ENSP00000396467"	"MAPKAPK2, MAPKAPK3"	"P49137, Q16644"
"5-(3-hydroxyphenyl)isothiazol-3(2h)-one 1,1-dioxide"	DB07730		9606.ENSP00000360683	PTPN1	P18031
can-508	DB07731		9606.ENSP00000266970	CDK2	P24941
"1-methyl-3-trifluoromethyl-1h-thieno[2,3-c]pyrazole-5-carboxylic acid (2-mercapto-ethyl)-amide"	DB07733		9606.ENSP00000433138	CASP1	P29466
n-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide	DB07734		9606.ENSP00000318585	BACE1	P56817
"n-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide"	DB07735		9606.ENSP00000318585	BACE1	P56817
(2s)-4-(4-fluorobenzyl)-n-(2-sulfanylethyl)piperazine-2-carboxamide	DB07736		9606.ENSP00000318585	BACE1	P56817
(2s)-4-(4-fluorobenzyl)-n-(3-sulfanylpropyl)piperazine-2-carboxamide	DB07737		9606.ENSP00000318585	BACE1	P56817
"n-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide"	DB07738		9606.ENSP00000318585	BACE1	P56817
"(3r)-3-(fluoromethyl)-7-(thiomorpholin-4-ylsulfonyl)-1,2,3,4-tetrahydroisoquinoline"	DB07739		9606.ENSP00000269582	PNMT	P11086
"(7r,12r,13r)-13-formyl-12,14-dihydroxy-3,5,7-trimethyltetradeca-2,4-dienoic acid"	DB07740		9606.ENSP00000322706	HMGCS1	Q01581
"4-(1r,3as,4r,8as,8br)-[1-difluoromethyl-2-(4-fluorobenzyl)-3-oxodecahydropyrrolo[3,4-a]pyrrolizin-4-yl]benzamidine"	DB07741		9606.ENSP00000308541	F2	P00734
"n-(2,3-difluoro-benzyl)-4-sulfamoyl-benzamide"	DB07742		9606.ENSP00000285379	CA2	P00918
z-val-ala-asp fluoromethyl ketone	DB07744	n-[(benzyloxy)carbonyl]-l-valyl-n-[(2s)-1-carboxy-4-fluoro-3-oxo-2-butanyl]-l-alaninamide | z-vad-fmk	9606.ENSP00000433138	CASP1	P29466
3-ethyl-6-{[(4-fluorophenyl)sulfonyl]amino}-2-methylbenzoic acid	DB07746		9606.ENSP00000325312	METAP2	P50579
"(3r)-n-(4-chlorophenyl)-3-(hydroxymethyl)-1,2,3,4-tetrahydroisoquinoline-7-sulfonamide"	DB07747		9606.ENSP00000269582	PNMT	P11086
2-acetylamino-4-methyl-pentanoic acid (1-formyl-2-phenyl-ethyl)-amide	DB07749		9606.ENSP00000354294	CTRB1	P17538
"(2r)-1-[4-({4-[(2,5-dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol"	DB07750		9606.ENSP00000266970	CDK2	P24941
"(2s)-1-[4-({6-[(2,6-difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol"	DB07751		9606.ENSP00000266970	CDK2	P24941
dcfbc	DB07754		9606.ENSP00000256999	FOLH1	Q04609
"(2s)-1-[4-({4-[(2,5-dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol"	DB07755		9606.ENSP00000266970	CDK2	P24941
"1-[3-({[(4-amino-5-fluoro-2-methylquinolin-3-yl)methyl]thio}methyl)phenyl]-2,2,2-trifluoroethane-1,1-diol"	DB07756		9606.ENSP00000303211	ACHE	P22303
"(9as)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3h-fluoren-3-one"	DB07757		9606.ENSP00000343925	ESR2	Q92731
"3-[(1e,7e)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid"	DB07760		9606.ENSP00000242576	UNG	P13051
"(2r)-1-[4-({6-[(2,6-difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol"	DB07761		9606.ENSP00000266970	CDK2	P24941
"(5s)-3-anilino-5-(2,4-difluorophenyl)-5-methyl-1,3-oxazolidine-2,4-dione"	DB07763		"9606.ENSP00000354554, 9606.ENSP00000203407, 9606.ENSP00000317159, 9606.ENSP00000268379, 9606.ENSP00000309565, 9606.ENSP00000367939, 9606.ENSP00000306397, 9606.ENSP00000467262, 9606.ENSP00000430494, 9606.ENSP00000332887"	"MT-CYB, UQCRC1, CYC1, UQCRC2, UQCRH, UQCRQ, UQCRFS1, UQCR11, UQCRB, UQCR10"	"P00156, P31930, P08574, P22695, P07919, O14949, P47985, O14957, P14927, Q9UDW1"
fluorescin	DB07764	"2-(3,6-dihydroxyxanthen-9-yl)benzoic acid"			P01857
"methyl 1-(4-{[(2,4-diaminopteridin-6-yl)methyl](methyl)amino}benzoyl)piperidine-4-carboxylate"	DB07765				P0CG22
"(2z,3e)-2,3'-biindole-2',3(1h,1'h)-dione 3-{o-[(3r)-3,4-dihydroxybutyl]oxime}"	DB07766		"9606.ENSP00000500386, 9606.ENSP00000276052"	"CAMK2A, CDK16"	"Q9UQM7, Q00536"
epitestosterone	DB07768	(17-alpha)-17-hydroxyandrost-4-en-3-one | 17-alpha-hydroxyandrost-4-en-3-one | 17-alpha-testosterone | 17-epitestosterone | 17alpha-cis-testosterone | cis-testosterone | isotestosterone	"9606.ENSP00000370254, 9606.ENSP00000370129"	"AKR1C1, AKR1C2"	"Q04828, P52895"
s-3-(4-fluorophenoxy)-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]propanamide	DB07769		9606.ENSP00000363822	AR	P10275
"[(3,7,11-trimethyl-dodeca-2,6,10-trienyloxycarbamoyl)-methyl]-phosphonic acid"	DB07771		"9606.ENSP00000246166, 9606.ENSP00000303423, 9606.ENSP00000256078"	"FNTB, FNTA, KRAS"	"P49356, P49354, P01116"
"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid"	DB07772		9606.ENSP00000236826	MMP8	P22894
flavone	DB07776	2-phenyl-4-benzopyron | 2-phenyl-4-chromone | 2-phenyl-4h-1-benzopyran-4-one | 2-phenyl-4h-benzopyran-4-one | 2-phenyl-î³-benzopyrone | 2-phenylbenzopyran-4-one | 2-phenylchromone | flavon	"9606.ENSP00000478561, 9606.ENSP00000384851, 9606.ENSP00000370270"	"CYP1B1, ESRRA, ESRRB"	"Q16678, P11474, O95718"
(s)-famoxadone	DB07778	"(â)-famoxadone | (s)-(â)-famoxadone | (s)-5-methyl-5-(4-phenoxy-phenyl)-3-phenylamino-oxazolidine-2,4-dione"	"9606.ENSP00000354554, 9606.ENSP00000203407, 9606.ENSP00000317159, 9606.ENSP00000268379, 9606.ENSP00000309565, 9606.ENSP00000367939, 9606.ENSP00000306397, 9606.ENSP00000467262, 9606.ENSP00000430494, 9606.ENSP00000332887"	"MT-CYB, UQCRC1, CYC1, UQCRC2, UQCRH, UQCRQ, UQCRFS1, UQCR11, UQCRB, UQCR10"	"P00156, P31930, P08574, P22695, P07919, O14949, P47985, O14957, P14927, Q9UDW1"
n-({(2s)-1-[(3r)-3-amino-4-(2-fluorophenyl)butanoyl]pyrrolidin-2-yl}methyl)benzamide	DB07779		9606.ENSP00000353731	DPP4	P27487
farnesyl diphosphate	DB07780	"(2e,6e)-farnesol diphosphate | (2e,6e)-farnesyl diphosphate | (2e,6e)-farnesyl pyrophosphate | (all-e)-farnesyl diphosphate | (e,e)-farnesyl pyrophosphate | 2-trans,6-trans-farnesyl diphosphate | all-trans-farnesyl pyrophosphate | farnesyl pyrophosphate"	"9606.ENSP00000349078, 9606.ENSP00000246166, 9606.ENSP00000303423, 9606.ENSP00000282841, 9606.ENSP00000256078, 9606.ENSP00000382341, 9606.ENSP00000317473"	"FDPS, FNTB, FNTA, GGPS1, KRAS, RABGGTA, RABGGTB"	"P14324, P49356, P49354, O95749, P01116, Q92696, P53611"
1-((1r)-1-(hydroxymethyl)-3-{6-[(3-phenylpropanoyl)amino]-1h-indol-1-yl}propyl)-1h-imidazole-4-carboxamide	DB07783		9606.ENSP00000361965	ADA	P00813
"[4-(4-acetylamino-phenyl)-3,5-dioxo-4-aza-tricyclo[5.2.2.0 2,6]undec-1-ylcarbamoyloxy]-acetic acid"	DB07784				P01834
"1-{(1r,2s)-2-hydroxy-1-[2-(2-naphthyloxy)ethyl]propyl}-1h-imidazone-4-carboxamide"	DB07785		9606.ENSP00000361965	ADA	P00813
"1-((1r,2s)-1-{2-[2-(4-chlorophenyl)-1,3-benzoxazol-7-yl]ethyl}-2-hydroxypropyl)-1h-imidazole-4-carboxamide"	DB07786		9606.ENSP00000361965	ADA	P00813
"5-fluoro-1-[4-(4-phenyl-3,6-dihydropyridin-1(2h)-yl)butyl]quinazoline-2,4(1h,3h)-dione"	DB07787		9606.ENSP00000355759	PARP1	P09874
"(3r,5z,8s,9s,11e)-8,9,16-trihydroxy-14-methoxy-3-methyl-3,4,9,10-tetrahydro-1h-2-benzoxacyclotetradecine-1,7(8h)-dione"	DB07788		9606.ENSP00000215832	MAPK1	P28482
"1-[5-methyl-2-(trifluoromethyl)furan-3-yl]-3-[5-[2-[[6-(1h-1,2,4-triazol-5-ylamino)pyrimidin-4-yl]amino]ethyl]-1,3-thiazol-2-yl]urea"	DB07789		9606.ENSP00000300093	PLK1	P53350
n-(2-methoxyethyl)-4-({4-[2-methyl-1-(1-methylethyl)-1h-imidazol-5-yl]pyrimidin-2-yl}amino)benzenesulfonamide	DB07790		9606.ENSP00000266970	CDK2	P24941
4-{[4-(1-cyclopropyl-2-methyl-1h-imidazol-5-yl)pyrimidin-2-yl]amino}-n-methylbenzenesulfonamide	DB07791		9606.ENSP00000266970	CDK2	P24941
"(s)-2-chloro-n-(1-(2-(2-hydroxyethylamino)-2-oxoethyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl)-6h-thieno[2,3-b]pyrrole-5-carboxamide"	DB07792		9606.ENSP00000164139	PYGM	P11217
"(2s)-n-[(3s)-1-(2-amino-2-oxoethyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl]-2-chloro-2h-thieno[2,3-b]pyrrole-5-carboxamide"	DB07793		9606.ENSP00000164139	PYGM	P11217
"5-(2-phenylpyrazolo[1,5-a]pyridin-3-yl)-1h-pyrazolo[3,4-c]pyridazin-3-amine"	DB07794		9606.ENSP00000215832	MAPK1	P28482
fisetin	DB07795	"2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-4h-1-benzopyran-4-one | 3,3',4',7-tetrahydroxyflavone | 3,7,3',4'-tetrahydroxyflavone | 5-desoxyquercetin | 7,3',4'-trihydroxyflavonol"	9606.ENSP00000265734	CDK6	Q00534
"(3asr,4rs,8asr,8brs)-4-(2-(4-fluorobenzyl)-1,3-dioxodeacahydropyrrolo[3,4-a] pyrrolizin-4-yl)benzamidine"	DB07796		9606.ENSP00000308541	F2	P00734
"(3r)-3-(fluoromethyl)-n-(3,3,3-trifluoropropyl)-1,2,3,4-tetrahydroisoquinoline-7-sulfonamide"	DB07798		9606.ENSP00000269582	PNMT	P11086
n-(2-(((5-chloro-2-pyridinyl)amino)sulfonyl)phenyl)-4-(2-oxo-1(2h)-pyridinyl)benzamide	DB07800		9606.ENSP00000364709	F10	P00742
n-butyl-3-{[6-(9h-purin-6-ylamino)hexanoyl]amino}benzamide	DB07801		9606.ENSP00000216911	AURKA	O14965
"3,8-dibromo-7-hydroxy-4-methyl-2h-chromen-2-one"	DB07802		9606.ENSP00000217244	CSNK2A1	P68400
"5-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}-1h-1,2,4-triazole-3-sulfonamide"	DB07804		9606.ENSP00000364709	F10	P00742
"(3r,4r,5r)-5-(hydroxymethyl)-1-(3-phenylpropyl)piperidine-3,4-diol"	DB07807		9606.ENSP00000164139	PYGM	P11217
4-({[4-(3-methylbenzoyl)pyridin-2-yl]amino}methyl)benzenecarboximidamide	DB07809		9606.ENSP00000308541	F2	P00734
"n-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide"	DB07811		9606.ENSP00000229795	MAPK14	Q16539
"n-[(1s)-2-amino-1-phenylethyl]-5-(1h-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide"	DB07812		"9606.ENSP00000324806, 9606.ENSP00000375892"	"GSK3B, AKT2"	"P49841, P31751"
gibberellic acid	DB07814	(+)-gibberellic acid | ga3 | gibberellic acid ga3 | gibberellin | gibberellin 3 | gibberellin a3	9606.ENSP00000348911	AADACL2	Q6P093
gibberellin a4	DB07815	"2î²,4a-dihydroxy-1-methyl-8-methylene-4aî±,4bî²-gibbane-1î±,10î²-dicarboxylic acid, 1,4a-lactone | ga4 | gibberellin 4"	9606.ENSP00000348911	AADACL2	Q6P093
n-(p-cyanophenyl)-n'-diphenylmethyl-guanidine-acetic acid	DB07816				P01857
"(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate"	DB07821		"9606.ENSP00000274793, 9606.ENSP00000353720, 9606.ENSP00000444935"	"PLA2G7, CES1, PAFAH1B3"	"Q13093, P23141, Q15102"
"4-{[1-methyl-2,4-dioxo-6-(3-phenylprop-1-yn-1-yl)-1,4-dihydroquinazolin-3(2h)-yl]methyl}benzoic acid"	DB07827		9606.ENSP00000260302	MMP13	P45452
4-[3-(4-fluorophenyl)-1h-pyrazol-4-yl]pyridine	DB07829		9606.ENSP00000229795	MAPK14	Q16539
"(4r,5r)-5-amino-1-[2-(1,3-benzodioxol-5-yl)ethyl]-4-(2,4,5-trifluorophenyl)piperidin-2-one"	DB07830		9606.ENSP00000353731	DPP4	P27487
"2-{[(6-oxo-1,6-dihydropyridin-3-yl)methyl]amino}-n-[4-propyl-3-(trifluoromethyl)phenyl]benzamide"	DB07831		9606.ENSP00000361423	ABL1	P00519
"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde"	DB07832		9606.ENSP00000229795	MAPK14	Q16539
"n-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide"	DB07833		9606.ENSP00000229795	MAPK14	Q16539
"n-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide"	DB07834		9606.ENSP00000229795	MAPK14	Q16539
"n~3~-cyclopropyl-n~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide"	DB07835		9606.ENSP00000229795	MAPK14	Q16539
1-decyl-3-trifluoro ethyl-sn-glycero-2-phosphomethanol	DB07836		9606.ENSP00000312286	PLA2G1B	P04054
"[4-(5-naphthalen-2-yl-1h-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid"	DB07837		9606.ENSP00000356832	SGK1	O00141
(z)-3-benzyl-5-(2-hydroxy-3-nitrobenzylidene)-2-thioxothiazolidin-4-one	DB07838		9606.ENSP00000367407	NMT2	O60551
"n~2~-1,3-benzoxazol-2-yl-3-cyclohexyl-n-{2-[(4-methoxyphenyl)amino]ethyl}-l-alaninamide"	DB07839		9606.ENSP00000357981	CTSS	P25774
"(e)-[4-(3,5-difluorophenyl)-3h-pyrrolo[2,3-b]pyridin-3-ylidene](3-methoxyphenyl)methanol"	DB07840		9606.ENSP00000393312	FGFR1	P11362
geranylgeranyl diphosphate	DB07841		"9606.ENSP00000349078, 9606.ENSP00000404676, 9606.ENSP00000246166, 9606.ENSP00000303423, 9606.ENSP00000282841, 9606.ENSP00000382341, 9606.ENSP00000317473"	"FDPS, PGGT1B, FNTB, FNTA, GGPS1, RABGGTA, RABGGTB"	"P14324, P53609, P49356, P49354, O95749, Q92696, P53611"
(2s)-2-(4-ethylphenoxy)-3-phenylpropanoic acid	DB07842		9606.ENSP00000287820	PPARG	P37231
5-chloro-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}-1-benzothiophene-2-sulfonamide	DB07843		9606.ENSP00000364709	F10	P00742
6-chloro-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}-1-benzothiophene-2-sulfonamide	DB07844		9606.ENSP00000364709	F10	P00742
"2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7h-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide"	DB07845		9606.ENSP00000378974	MAPK8	P45983
"(3,4,8b-trimethyl-3-oxido-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-3-ium-7-yl) n-(2-ethylphenyl)carbamate"	DB07846		9606.ENSP00000303211	ACHE	P22303
6-chloro-n-{(3s)-1-[(1s)-1-methyl-2-(4-morpholinyl)-2-oxo ethyl]-2-oxo-3-pyrrolidinyl}-2-naphthalenesulfonamide	DB07847		9606.ENSP00000364709	F10	P00742
5-chloro-n-{(3s)-1-[(2s)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1h-indole-2-sulfonamide	DB07848		9606.ENSP00000364709	F10	P00742
s-nonyl-cysteine	DB07849		9606.ENSP00000381607	GSTP1	P09211
"(3r,4s)-1-(3,4-dimethoxyphenyl)-3-(3-methylphenyl)piperidin-4-amine"	DB07851		9606.ENSP00000353731	DPP4	P27487
"1-(3,5-dichlorophenyl)-5-methyl-1h-1,2,4-triazole-3-carboxylic acid"	DB07852		"9606.ENSP00000266970, 9606.ENSP00000481380"	"CDK2, CCNA2"	"P24941, P20248"
"2-[4-[4-[(5-cyclopropyl-1h-pyrazol-3-yl)amino]quinazolin-2-yl]iminocyclohexa-2,5-dien-1-yl]acetonitrile"	DB07853		"9606.ENSP00000358770, 9606.ENSP00000425824, 9606.ENSP00000377867"	"SLK, CAMK2D, STK26"	"Q9H2G2, Q13557, Q9P289"
n-methyl-1-[4-(9h-purin-6-yl)phenyl]methanamine	DB07854		"9606.ENSP00000309591, 9606.ENSP00000379696"	"PRKACA, PKIA"	"P17612, P61925"
(s)-1-phenyl-1-[4-(9h-purin-6-yl)phenyl]methanamine	DB07855		"9606.ENSP00000309591, 9606.ENSP00000379696"	"PRKACA, PKIA"	"P17612, P61925"
6-{4-[4-(4-chlorophenyl)piperidin-4-yl]phenyl}-9h-purine	DB07856		"9606.ENSP00000309591, 9606.ENSP00000379696"	"PRKACA, PKIA"	"P17612, P61925"
(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine	DB07857		"9606.ENSP00000309591, 9606.ENSP00000379696"	"PRKACA, PKIA"	"P17612, P61925"
